Nom;Prenom;Conflit;Date deces;Departement de naissance;Nom departement de naissance
AHMED;Ben Larahine;1914-1918;31/08/1918;9350;Maroc
AHMED;Ben Mohamed;1914-1918;19/05/1916;9350;Maroc
AHMED;Ben Mohamed;1914-1918;23/05/1916;9350;Maroc
AHMED;Ben Saed;1914-1918;03/02/1919;9350;Maroc
AHMED;Ben Saed;1914-1918;28/01/1915;9350;Maroc
AHMED;Ben Salem;1914-1918;09/08/1918;9350;Maroc
ALI;Ben Ali;1914-1918;24/02/1916;9350;Maroc
ALI;Ben Auzoulzaoui;1914-1918;22/12/1917;9350;Maroc
ALI;Ben Mati;1914-1918;05/09/1914;9350;Maroc
ALLAH;Ben Mohamed;1914-1918;28/06/1918;9350;Maroc
ALLAL;Ben M'Barck;1914-1918;06/05/1915;9350;Maroc
ALLOUCH;Bouzid;1914-1918;17/11/1915;9350;Maroc
AMAR;Ben Chaeb;1914-1918;30/05/1918;9350;Maroc
AOMAR;Ben Mohamed;1914-1918;08/01/1915;9350;Maroc
AYA;Ben Mohamed;1914-1918;16/04/1917;9350;Maroc
BELLAL;Ben Belkrir;1914-1918;12/03/1915;9350;Maroc
BEN AeSSA;Ben Larbi;1914-1918;16/10/1915;9350;Maroc
BEN HAMIDA;Ben Guezouli;1914-1918;12/04/1917;9350;Maroc
BEN NACEUR;Ben Tami;1914-1918;07/10/1914;9350;Maroc
BERNOUSSI;Ben Larbi;1914-1918;16/04/1918;9350;Maroc
BOUAZA;Ben Mohamed;1914-1918;20/05/1918;9350;Maroc
BOUCHTA;Ben Abdenbi;1914-1918;26/05/1915;9350;Maroc
